Linear,Digital,Overlap
24196,50812,380
24196,51619,385
24196,52425,389
24196,53232,392
24196,54038,398
24196,54845,406
24196,55651,410
24196,56458,420
24196,57265,423
24196,58071,433
24196,58878,436
24196,59684,444
24196,60491,451
24196,61297,455
24196,62104,461
24196,62910,469
24196,63717,473
24196,64524,479
24196,65330,492
24196,66137,499
24196,66943,504
24196,67750,512
24196,68556,514
24196,69363,520
24196,70169,524
24196,70976,527
24196,71782,534
24196,72589,541
24196,73396,548
24196,74202,560
24196,75009,570
24196,75815,578
24196,76622,585
24196,77428,591
24196,78235,598
24196,79041,610
24196,79848,618
24196,80655,623
26213,0,0
26213,806,0
26213,1613,10
26213,2419,13
26213,3226,21
26213,4032,29
26213,4839,33
26213,5645,41
26213,6452,50
26213,7258,60
26213,8065,67
26213,8872,77
26213,9678,83
26213,10485,89
26213,11291,102
26213,12098,108
26213,12904,113
26213,13711,117
26213,14517,124
26213,15324,126
26213,16131,130
26213,16937,134
26213,17744,135
26213,18550,140
26213,19357,148
26213,20163,152
26213,20970,159
26213,21776,170
26213,22583,176
26213,23389,184
26213,24196,191
26213,25003,199
26213,25809,208
26213,26616,211
26213,27422,217
26213,28229,222
26213,29035,227
26213,29842,237
26213,30648,247
26213,31455,253
26213,32262,259
26213,33068,266
26213,33875,275
26213,34681,279
26213,35488,285
26213,36294,289
26213,37101,291
26213,37907,297
26213,38714,306
26213,39520,315
26213,40327,322
26213,41134,330
26213,41940,334
26213,42747,341
26213,43553,352
26213,44360,360
26213,45166,363
26213,45973,363
26213,46779,370
26213,47586,379
26213,48393,389
26213,49199,394
26213,50006,400
26213,50812,403
26213,51619,408
26213,52425,413
26213,53232,416
26213,54038,422
26213,54845,430
26213,55651,434
26213,56458,444
26213,57265,449
26213,58071,459
26213,58878,462
26213,59684,470
26213,60491,477
26213,61297,482
26213,62104,489
26213,62910,498
26213,63717,503
26213,64524,509
26213,65330,522
26213,66137,531
26213,66943,538
26213,67750,546
26213,68556,548
26213,69363,554
26213,70169,558
26213,70976,562
26213,71782,570
26213,72589,577
26213,73396,584
26213,74202,597
26213,75009,607
26213,75815,615
26213,76622,622
26213,77428,628
26213,78235,636
26213,79041,648
26213,79848,656
26213,80655,662
28229,0,0
28229,806,1
28229,1613,13
28229,2419,17
28229,3226,25
28229,4032,34
28229,4839,40
28229,5645,48
28229,6452,57
28229,7258,67
28229,8065,74
28229,8872,84
28229,9678,91
28229,10485,97
28229,11291,110
28229,12098,116
28229,12904,121
28229,13711,126
28229,14517,134
28229,15324,138
28229,16131,142
28229,16937,146
28229,17744,148
28229,18550,153
28229,19357,164
28229,20163,171
28229,20970,178
28229,21776,189
28229,22583,196
28229,23389,204
28229,24196,211
28229,25003,219
28229,25809,230
28229,26616,234
28229,27422,240
28229,28229,246
28229,29035,252
28229,29842,262
28229,30648,272
28229,31455,278
28229,32262,284
28229,33068,292
28229,33875,303
28229,34681,308
28229,35488,314
28229,36294,319
28229,37101,321
28229,37907,327
28229,38714,336
28229,39520,346
28229,40327,353
28229,41134,361
28229,41940,366
28229,42747,373
28229,43553,384
28229,44360,394
28229,45166,400
28229,45973,400
28229,46779,407
28229,47586,416
28229,48393,426
28229,49199,433
28229,50006,440
28229,50812,445
28229,51619,450
28229,52425,455
28229,53232,461
28229,54038,467
28229,54845,477
28229,55651,481
28229,56458,492
28229,57265,498
28229,58071,508
28229,58878,511
28229,59684,519
28229,60491,526
28229,61297,532
28229,62104,539
28229,62910,549
28229,63717,555
28229,64524,562
28229,65330,576
28229,66137,585
28229,66943,592
28229,67750,600
28229,68556,605
28229,69363,613
28229,70169,618
28229,70976,622
28229,71782,631
28229,72589,639
28229,73396,646
28229,74202,659
28229,75009,669
28229,75815,677
28229,76622,684
28229,77428,690
28229,78235,699
28229,79041,711
28229,79848,722
28229,80655,728
30245,0,0
30245,806,1
30245,1613,13
30245,2419,17
30245,3226,25
30245,4032,34
30245,4839,41
30245,5645,50
30245,6452,59
30245,7258,70
30245,8065,77
30245,8872,87
30245,9678,95
30245,10485,101
30245,11291,114
30245,12098,121
